1839.jpg,1.000000,0.000000,0.000000
1840.jpg,0.939693,0.000000,0.342020
1841.jpg,0.707107,0.000000,0.707107
1842.jpg,0.000000,0.000000,1.000000
1843.jpg,0.939693,0.000000,-0.342020
1844.jpg,0.819152,0.000000,-0.573576
1845.jpg,0.981060,0.085832,0.173648
1846.jpg,0.981060,0.085832,-0.173648
1847.jpg,0.984808,0.173648,0.000000
1848.jpg,0.925417,0.163176,-0.342020
1849.jpg,0.907673,0.243210,0.342020
1850.jpg,0.925417,0.336824,0.173648
1851.jpg,0.925417,0.336824,-0.173648
1852.jpg,0.719846,0.262003,-0.642788
1853.jpg,0.906308,0.422618,0.000000
1854.jpg,0.791240,0.554032,0.258819
1855.jpg,0.627507,0.439385,0.642788
1856.jpg,0.346189,0.242404,0.906308
1857.jpg,0.769751,0.538986,-0.342020
1858.jpg,0.642788,0.766044,0.000000
1859.jpg,0.492404,0.586824,-0.642788
1860.jpg,0.469846,0.813798,0.342020
1861.jpg,0.469846,0.813798,-0.342020
1862.jpg,0.342020,0.939693,0.000000
1863.jpg,0.241845,0.664463,0.707107
1864.jpg,0.280166,0.769751,-0.573576
1865.jpg,0.081900,0.936117,0.342020
1866.jpg,0.081900,0.936117,-0.342020
1867.jpg,-0.087156,0.996195,0.000000
1868.jpg,-0.330366,0.907673,0.258819
1869.jpg,-0.262003,0.719846,0.642788
1870.jpg,-0.144544,0.397131,0.906308
1871.jpg,-0.321394,0.883022,-0.342020
1872.jpg,-0.500000,0.866025,0.000000
1873.jpg,-0.604023,0.719846,0.342020
1874.jpg,0.981060,-0.085832,0.173648
1875.jpg,0.981060,-0.085832,-0.173648
1876.jpg,0.984808,-0.173648,0.000000
1877.jpg,0.925417,-0.163176,-0.342020
1878.jpg,0.907673,-0.243210,0.342020
1879.jpg,0.925417,-0.336824,0.173648
1880.jpg,0.925417,-0.336824,-0.173648
1881.jpg,0.719846,-0.262003,-0.642788
1882.jpg,0.906308,-0.422618,0.000000
1883.jpg,0.791240,-0.554032,0.258819
1884.jpg,0.627507,-0.439385,0.642788
